Number,Ticker,sector,city,industry,profitMargins,priceToBook,bookValue,shortRatio,revenuePerShare,operatingMargins,forwardEps,heldPercentInstitutions,heldPercentInsiders,marketCap,profitMargins,volume,totalDebt,totalCash,beta,totalCashPerShare,enterpriseValue,floatShares,volume,numberOfAnalystOpinions,COVID BEHAVIOUR,COVID DEPENDANCY,CLASS,15/3/2020 0:00,10/4/2020 0:00,10/5/2020 0:00,10/9/2020 0:00,1/1/2021 0:00,20/2/2021 0:00,15/5/2021 0:00,10/9/2021 0:00
19,ANET,Technology,Santa Clara,Computer Hardware,0.27716,7.7107434,48.234,3.65,34.518,0.30702,11.91,0.65417,0.26665002,28385605632,0.27716,587210,64295000,3281702912,1.146834,42.777,25315041280,56625314,587210,18,IIIID,7,1,175.7699982,210.3100014,227.5079987,207.2350006,286.402504,308.5660034,365.7059937,357.0175018
20,ANSS,Technology,Canonsburg,Software—Application,0.25402,7.0921216,48.74,2.79,20.822,0.29071,7.7,0.93761003,0.0041,30125694976,0.25402,176750,885497024,958208000,1.210869,10.982,30087868416,87019559,176750,15,IIIII,4,0,218.6160004,241.0999985,280.8459961,315.0399933,357.7999954,392.8279968,335.8320068,372.5449982
21,ANTM,Healthcare,Indianapolis,Healthcare Plans,0.03274,2.7940814,138.21,3.06,523.048,0.05846,28.32,0.93008006,0.00214,94550245376,0.03274,773730,24217999360,32852000768,1.037117,134.741,82757771264,243422937,773730,23,DIIDD,5,1,263.6659943,234.8125038,282.0840027,263.375,320.7724991,293.3719971,381.7220032,369.4000015
22,AON,Financial Services,Dublin,Insurance Brokers,0.17778999,14.890283,19.778,6.88,51.381,0.27651,12.95,1.06126,0.0099,66453045248,0.17778999,1005673,8408999936,1272000000,0.857988,5.635,73724534784,218893464,1005673,11,IIIII,2,0,177.9100006,182.2700005,189.6159943,201.3050003,206.7250023,228.123999,245.7860016,290.2000046
24,APH,Technology,Wallingford,Electronic Components,0.14344,7.9176245,9.566,2.62,16.358,0.20093,2.65,0.97486,0.00488,45263433728,0.14344,1340529,5236299776,1242599936,1.247826,2.077,49363050496,594978962,1340529,13,DIIII,4,0,39.78199921,39.07250023,49.56600037,52.5824995,65.50250244,66.28700104,68.15999908,75.53000069
25,APTV,Consumer Cyclical,Dublin,Auto Parts,0.06722,5.6403074,29.275,2.08,58.132,0.099429995,5.01,0.96513003,0.00544,44658851840,0.06722,1471758,4440999936,2926000128,2.110807,10.817,43449204736,268827722,1471758,23,DIIID,9,1,63.41200027,56.46500015,78.89000092,84.73750114,132.8249969,154.3600037,155.3919983,148.5049973
26,ATO,Utilities,Dallas,Utilities—Regulated Gas,0.20583999,1.5135099,59.438,3.2,25.908,0.27281,5.43,0.87624,0.009509999,11755252736,0.20583999,616278,7332423168,613881024,0.398471,4.694,18484484096,129706557,616278,9,IIDDD,1,0,99.46199951,102.4749985,102.7579987,95.0625,93.94499969,92.04400024,100.9440002,95.77250099
28,AVGO,Technology,San Jose,Semiconductors,0.22900999,8.440947,58.388,3.71,64.975,0.28842,29.97,0.82221,0.023929998,2.02197E+11,0.22900999,1027984,40456998912,11105000448,0.955786,26.979,2.39196E+11,404515907,1027984,30,IIIII,5,1,229.8899994,255.277504,308.376001,356.8375015,429.1575012,484.2380005,470.8380005,495.6524963
29,AVY,Industrials,Glendale,Business Equipment & Supplies,0.093389995,10.856348,19.046,1.42,94.631,0.13463001,9.14,0.90370005,0.00634,17137718272,0.093389995,397201,2079000064,377900000,1.030158,4.559,20145051648,82324361,397201,11,DIIII,6,1,107.7220016,107.4549999,118.8,116.5599995,154.3224983,174.976001,213.4480011,224.5275002
30,AWK,Utilities,Camden,Utilities—Regulated Water,0.19259001,4.6344376,36.861,2.79,21.486,0.3389,4.61,0.87454003,0.00221,31004962816,0.19259001,442568,11091000320,87000000,0.270899,0.479,42008911872,181074650,442568,15,DIIII,2,0,126.4899994,124.2224979,129.8099991,141.4600029,151.7900009,158.1940002,160.6599976,186.2699966
